order_id,order_date,region,product_category,quantity,sales,profit
71,2023-01-03 22:00:00,South,Office Supplies,4,75,124
72,2023-01-03 23:00:00,South,Office Supplies,3,183,87
73,2023-01-04 00:00:00,North,Electronics,1,171,23
74,2023-01-04 01:00:00,South,Electronics,3,109,89
75,2023-01-04 02:00:00,North,Office Supplies,2,304,132
76,2023-01-04 03:00:00,South,Electronics,2,41,47
77,2023-01-04 04:00:00,West,Office Supplies,1,286,77
78,2023-01-04 05:00:00,West,Electronics,1,316,90
79,2023-01-04 06:00:00,East,Furniture,2,452,23
80,2023-01-04 07:00:00,West,Furniture,4,265,15
81,2023-01-04 08:00:00,East,Electronics,4,158,132
82,2023-01-04 09:00:00,West,Furniture,2,71,103
83,2023-01-04 10:00:00,North,Furniture,4,86,49
84,2023-01-04 11:00:00,West,Furniture,2,104,66
85,2023-01-04 12:00:00,East,Office Supplies,3,269,99
86,2023-01-04 13:00:00,East,Electronics,3,350,146
87,2023-01-04 14:00:00,South,Electronics,3,411,38
88,2023-01-04 15:00:00,North,Electronics,4,434,102
89,2023-01-04 16:00:00,West,Furniture,3,142,64
90,2023-01-04 17:00:00,South,Office Supplies,1,221,68
91,2023-01-04 18:00:00,West,Electronics,1,25,46
92,2023-01-04 19:00:00,West,Furniture,3,356,108
93,2023-01-04 20:00:00,South,Office Supplies,1,218,137
94,2023-01-04 21:00:00,South,Office Supplies,3,243,70
95,2023-01-04 22:00:00,South,Electronics,3,32,118
96,2023-01-04 23:00:00,South,Electronics,2,25,140
97,2023-01-05 00:00:00,South,Furniture,3,470,70
98,2023-01-05 01:00:00,West,Electronics,1,430,91
99,2023-01-05 02:00:00,South,Furniture,4,140,66
100,2023-01-05 03:00:00,North,Office Supplies,3,64,136
101,2023-01-05 04:00:00,East,Office Supplies,2,381,147
102,2023-01-05 05:00:00,South,Office Supplies,1,45,24
103,2023-01-05 06:00:00,South,Office Supplies,2,23,28
104,2023-01-05 07:00:00,West,Electronics,3,312,13
105,2023-01-05 08:00:00,South,Electronics,3,296,120
106,2023-01-05 09:00:00,South,Furniture,3,303,45
107,2023-01-05 10:00:00,South,Furniture,3,229,17
108,2023-01-05 11:00:00,West,Furniture,1,307,137
109,2023-01-05 12:00:00,South,Furniture,4,378,50
110,2023-01-05 13:00:00,East,Furniture,3,200,82
111,2023-01-05 14:00:00,West,Office Supplies,2,272,75
112,2023-01-05 15:00:00,East,Office Supplies,1,436,63
113,2023-01-05 16:00:00,West,Office Supplies,1,301,55
114,2023-01-05 17:00:00,South,Furniture,1,164,20
115,2023-01-05 18:00:00,East,Office Supplies,2,459,55
116,2023-01-05 19:00:00,West,Office Supplies,4,135,132
117,2023-01-05 20:00:00,North,Office Supplies,2,368,15
118,2023-01-05 21:00:00,South,Office Supplies,2,487,72
119,2023-01-05 22:00:00,West,Electronics,2,49,125
120,2023-01-05 23:00:00,North,Furniture,3,396,142
121,2023-01-06 00:00:00,West,Furniture,3,261,76
122,2023-01-06 01:00:00,North,Electronics,2,24,49
123,2023-01-06 02:00:00,South,Office Supplies,2,393,10
124,2023-01-06 03:00:00,East,Office Supplies,3,281,10
125,2023-01-06 04:00:00,North,Office Supplies,3,125,95
126,2023-01-06 05:00:00,West,Furniture,4,143,77
127,2023-01-06 06:00:00,South,Furniture,2,465,68
128,2023-01-06 07:00:00,North,Furniture,1,413,42
129,2023-01-06 08:00:00,West,Furniture,4,345,82
130,2023-01-06 09:00:00,West,Furniture,1,157,67
131,2023-01-06 10:00:00,West,Electronics,4,125,115
132,2023-01-06 11:00:00,North,Furniture,2,232,75
133,2023-01-06 12:00:00,North,Office Supplies,1,319,24
134,2023-01-06 13:00:00,North,Furniture,3,75,81
135,2023-01-06 14:00:00,East,Electronics,4,151,68
136,2023-01-06 15:00:00,North,Office Supplies,1,288,41
137,2023-01-06 16:00:00,North,Electronics,4,141,112
138,2023-01-06 17:00:00,North,Office Supplies,2,221,14
139,2023-01-06 18:00:00,East,Furniture,1,227,49
140,2023-01-06 19:00:00,North,Electronics,1,294,67
141,2023-01-06 20:00:00,West,Office Supplies,1,473,17
142,2023-01-06 21:00:00,North,Furniture,4,109,29
143,2023-01-06 22:00:00,West,Office Supplies,3,209,131
144,2023-01-06 23:00:00,West,Electronics,3,284,48
145,2023-01-07 00:00:00,West,Electronics,3,65,78
146,2023-01-07 01:00:00,East,Electronics,2,331,120
147,2023-01-07 02:00:00,East,Electronics,1,349,73
148,2023-01-07 03:00:00,East,Furniture,3,59,51
149,2023-01-07 04:00:00,North,Office Supplies,3,86,95
150,2023-01-07 05:00:00,West,Furniture,1,132,54
151,2023-01-07 06:00:00,East,Electronics,2,358,120
152,2023-01-07 07:00:00,East,Office Supplies,4,81,37
153,2023-01-07 08:00:00,North,Electronics,4,246,96
154,2023-01-07 09:00:00,East,Furniture,4,193,108
155,2023-01-07 10:00:00,North,Furniture,1,153,135
156,2023-01-07 11:00:00,South,Furniture,2,304,64
157,2023-01-07 12:00:00,East,Office Supplies,1,294,33
158,2023-01-07 13:00:00,South,Office Supplies,4,133,120
159,2023-01-07 14:00:00,North,Electronics,3,127,46
160,2023-01-07 15:00:00,West,Office Supplies,3,162,36
161,2023-01-07 16:00:00,East,Office Supplies,3,76,103
162,2023-01-07 17:00:00,North,Furniture,4,313,124
163,2023-01-07 18:00:00,West,Electronics,2,296,51
164,2023-01-07 19:00:00,West,Furniture,4,70,21
165,2023-01-07 20:00:00,South,Electronics,1,442,33
166,2023-01-07 21:00:00,North,Electronics,2,490,52
167,2023-01-07 22:00:00,West,Office Supplies,3,295,134
168,2023-01-07 23:00:00,East,Furniture,2,253,37
169,2023-01-08 00:00:00,East,Office Supplies,2,261,132
170,2023-01-08 01:00:00,South,Office Supplies,4,277,72
171,2023-01-08 02:00:00,West,Office Supplies,2,256,43
172,2023-01-08 03:00:00,North,Electronics,4,51,137
173,2023-01-08 04:00:00,East,Furniture,1,386,123
174,2023-01-08 05:00:00,West,Furniture,2,367,72
175,2023-01-08 06:00:00,West,Office Supplies,2,267,56
176,2023-01-08 07:00:00,South,Electronics,2,151,140
177,2023-01-08 08:00:00,East,Furniture,3,282,74
178,2023-01-08 09:00:00,East,Furniture,4,278,40
179,2023-01-08 10:00:00,North,Office Supplies,4,300,36
180,2023-01-08 11:00:00,East,Electronics,3,387,9
181,2023-01-08 12:00:00,North,Office Supplies,4,269,108
182,2023-01-08 13:00:00,East,Furniture,1,284,72
183,2023-01-08 14:00:00,South,Electronics,3,234,9
184,2023-01-08 15:00:00,East,Office Supplies,4,234,14
185,2023-01-08 16:00:00,North,Furniture,1,301,118
186,2023-01-08 17:00:00,North,Office Supplies,4,339,60
187,2023-01-08 18:00:00,South,Office Supplies,3,37,90
188,2023-01-08 19:00:00,East,Office Supplies,4,491,104
189,2023-01-08 20:00:00,East,Electronics,1,366,148
190,2023-01-08 21:00:00,South,Furniture,1,21,6
191,2023-01-08 22:00:00,East,Furniture,1,20,147
192,2023-01-08 23:00:00,East,Furniture,4,323,67
193,2023-01-09 00:00:00,North,Furniture,3,483,98
194,2023-01-09 01:00:00,East,Electronics,4,466,70
195,2023-01-09 02:00:00,East,Office Supplies,2,382,122
196,2023-01-09 03:00:00,South,Furniture,3,235,33
197,2023-01-09 04:00:00,South,Electronics,2,183,44
198,2023-01-09 05:00:00,West,Office Supplies,4,210,15
199,2023-01-09 06:00:00,North,Electronics,3,94,130
200,2023-01-09 07:00:00,East,Electronics,2,45,91
201,2023-01-09 08:00:00,East,Furniture,4,281,94
202,2023-01-09 09:00:00,West,Furniture,3,301,83
203,2023-01-09 10:00:00,East,Office Supplies,1,240,107
204,2023-01-09 11:00:00,North,Office Supplies,1,62,85
205,2023-01-09 12:00:00,West,Furniture,1,141,103
206,2023-01-09 13:00:00,North,Electronics,2,148,104
207,2023-01-09 14:00:00,West,Furniture,2,284,135
208,2023-01-09 15:00:00,West,Office Supplies,4,302,15
209,2023-01-09 16:00:00,South,Electronics,1,90,32
210,2023-01-09 17:00:00,North,Electronics,2,392,52
211,2023-01-09 18:00:00,East,Electronics,1,393,32
212,2023-01-09 19:00:00,East,Furniture,4,278,50
213,2023-01-09 20:00:00,North,Furniture,3,464,59
214,2023-01-09 21:00:00,East,Office Supplies,2,220,87
215,2023-01-09 22:00:00,East,Electronics,2,149,123
216,2023-01-09 23:00:00,North,Electronics,3,399,6
217,2023-01-10 00:00:00,West,Furniture,2,349,148
218,2023-01-10 01:00:00,North,Office Supplies,4,100,15
219,2023-01-10 02:00:00,West,Office Supplies,2,273,7
220,2023-01-10 03:00:00,East,Electronics,2,434,46
221,2023-01-10 04:00:00,East,Furniture,3,84,96
222,2023-01-10 05:00:00,East,Electronics,4,397,81
223,2023-01-10 06:00:00,South,Furniture,1,165,124
224,2023-01-10 07:00:00,West,Office Supplies,1,153,138
225,2023-01-10 08:00:00,South,Electronics,3,121,120
226,2023-01-10 09:00:00,South,Electronics,4,61,71
227,2023-01-10 10:00:00,North,Electronics,3,386,45
228,2023-01-10 11:00:00,South,Office Supplies,3,215,43
229,2023-01-10 12:00:00,North,Electronics,1,379,59
230,2023-01-10 13:00:00,North,Office Supplies,4,279,75
231,2023-01-10 14:00:00,South,Furniture,4,118,134
232,2023-01-10 15:00:00,West,Office Supplies,3,407,12
233,2023-01-10 16:00:00,West,Furniture,1,84,118
234,2023-01-10 17:00:00,West,Office Supplies,4,316,67
235,2023-01-10 18:00:00,West,Office Supplies,3,446,101
236,2023-01-10 19:00:00,West,Electronics,2,242,78
237,2023-01-10 20:00:00,South,Office Supplies,1,264,22
238,2023-01-10 21:00:00,South,Electronics,4,202,101
239,2023-01-10 22:00:00,East,Furniture,4,422,27
240,2023-01-10 23:00:00,West,Furniture,4,168,128
241,2023-01-11 00:00:00,South,Electronics,1,461,64
242,2023-01-11 01:00:00,East,Furniture,3,433,89
243,2023-01-11 02:00:00,West,Office Supplies,2,135,9
244,2023-01-11 03:00:00,North,Electronics,4,410,103
245,2023-01-11 04:00:00,East,Electronics,1,472,115
246,2023-01-11 05:00:00,South,Electronics,4,339,64
247,2023-01-11 06:00:00,North,Furniture,3,277,118
248,2023-01-11 07:00:00,North,Furniture,2,390,86
249,2023-01-11 08:00:00,North,Office Supplies,4,470,110
250,2023-01-11 09:00:00,East,Office Supplies,1,403,145
251,2023-01-11 10:00:00,South,Electronics,3,98,122
252,2023-01-11 11:00:00,North,Office Supplies,2,250,127
253,2023-01-11 12:00:00,West,Furniture,1,376,125
254,2023-01-11 13:00:00,North,Office Supplies,4,138,6
255,2023-01-11 14:00:00,North,Furniture,1,93,122
256,2023-01-11 15:00:00,East,Office Supplies,2,28,140
257,2023-01-11 16:00:00,East,Furniture,3,298,78
258,2023-01-11 17:00:00,South,Furniture,3,289,131
259,2023-01-11 18:00:00,West,Office Supplies,4,73,122
260,2023-01-11 19:00:00,East,Office Supplies,4,399,112
261,2023-01-11 20:00:00,North,Furniture,4,64,47
262,2023-01-11 21:00:00,South,Electronics,4,244,116
263,2023-01-11 22:00:00,North,Office Supplies,2,35,23
264,2023-01-11 23:00:00,North,Furniture,4,231,136
265,2023-01-12 00:00:00,East,Office Supplies,1,219,23
266,2023-01-12 01:00:00,South,Office Supplies,2,260,24
267,2023-01-12 02:00:00,West,Office Supplies,2,121,8
268,2023-01-12 03:00:00,West,Office Supplies,4,114,53
269,2023-01-12 04:00:00,East,Office Supplies,2,384,7
270,2023-01-12 05:00:00,East,Electronics,1,204,56
271,2023-01-12 06:00:00,South,Electronics,2,155,132
272,2023-01-12 07:00:00,West,Electronics,2,44,40
273,2023-01-12 08:00:00,West,Furniture,1,444,107
274,2023-01-12 09:00:00,West,Electronics,1,337,20
275,2023-01-12 10:00:00,North,Electronics,2,352,51
276,2023-01-12 11:00:00,West,Furniture,3,421,84
277,2023-01-12 12:00:00,North,Electronics,2,69,50
278,2023-01-12 13:00:00,South,Office Supplies,1,188,104
279,2023-01-12 14:00:00,North,Electronics,1,309,102
280,2023-01-12 15:00:00,South,Electronics,1,119,128
281,2023-01-12 16:00:00,West,Electronics,3,389,138
282,2023-01-12 17:00:00,West,Office Supplies,1,100,88
283,2023-01-12 18:00:00,South,Office Supplies,4,31,65
284,2023-01-12 19:00:00,East,Office Supplies,4,227,13
285,2023-01-12 20:00:00,South,Office Supplies,3,96,143
286,2023-01-12 21:00:00,East,Furniture,1,94,69
287,2023-01-12 22:00:00,North,Office Supplies,1,481,95
288,2023-01-12 23:00:00,North,Office Supplies,4,189,126
289,2023-01-13 00:00:00,North,Office Supplies,4,330,63
290,2023-01-13 01:00:00,West,Office Supplies,2,367,116
291,2023-01-13 02:00:00,North,Furniture,3,462,117
292,2023-01-13 03:00:00,East,Electronics,2,198,122
293,2023-01-13 04:00:00,North,Electronics,3,107,11
294,2023-01-13 05:00:00,South,Office Supplies,1,456,116
295,2023-01-13 06:00:00,South,Office Supplies,1,484,126
296,2023-01-13 07:00:00,West,Office Supplies,3,284,65
297,2023-01-13 08:00:00,South,Electronics,2,241,61
298,2023-01-13 09:00:00,East,Electronics,4,22,90
299,2023-01-13 10:00:00,North,Office Supplies,3,137,88
300,2023-01-13 11:00:00,West,Electronics,3,155,49
301,2023-01-13 12:00:00,North,Furniture,3,485,49
302,2023-01-13 13:00:00,North,Office Supplies,1,206,19
303,2023-01-13 14:00:00,East,Office Supplies,3,49,141
304,2023-01-13 15:00:00,South,Furniture,1,86,40
305,2023-01-13 16:00:00,South,Furniture,4,330,50
306,2023-01-13 17:00:00,North,Electronics,4,437,46
307,2023-01-13 18:00:00,West,Furniture,2,398,143
308,2023-01-13 19:00:00,South,Office Supplies,1,318,122
309,2023-01-13 20:00:00,West,Electronics,4,431,37
310,2023-01-13 21:00:00,South,Furniture,4,440,130
311,2023-01-13 22:00:00,West,Electronics,2,236,114
312,2023-01-13 23:00:00,East,Electronics,2,177,74
313,2023-01-14 00:00:00,West,Electronics,2,90,114
314,2023-01-14 01:00:00,East,Electronics,1,337,129
315,2023-01-14 02:00:00,East,Furniture,3,129,43
316,2023-01-14 03:00:00,West,Office Supplies,1,304,87
317,2023-01-14 04:00:00,East,Office Supplies,2,390,110
318,2023-01-14 05:00:00,North,Furniture,3,277,67
319,2023-01-14 06:00:00,East,Office Supplies,4,109,29
320,2023-01-14 07:00:00,South,Electronics,1,380,45
321,2023-01-14 08:00:00,West,Electronics,2,76,63
322,2023-01-14 09:00:00,North,Electronics,2,460,34
323,2023-01-14 10:00:00,West,Furniture,3,317,49
324,2023-01-14 11:00:00,South,Electronics,1,68,57
325,2023-01-14 12:00:00,South,Electronics,4,204,44
326,2023-01-14 13:00:00,South,Furniture,4,218,144
327,2023-01-14 14:00:00,East,Electronics,3,37,5
328,2023-01-14 15:00:00,East,Electronics,3,217,74
329,2023-01-14 16:00:00,West,Office Supplies,4,251,133
330,2023-01-14 17:00:00,West,Furniture,3,46,140
331,2023-01-14 18:00:00,North,Electronics,3,137,116
332,2023-01-14 19:00:00,North,Electronics,1,73,37
333,2023-01-14 20:00:00,West,Electronics,3,171,119
334,2023-01-14 21:00:00,East,Electronics,2,244,108
335,2023-01-14 22:00:00,South,Office Supplies,2,498,138
336,2023-01-14 23:00:00,West,Office Supplies,2,181,135
337,2023-01-15 00:00:00,North,Office Supplies,3,169,83
338,2023-01-15 01:00:00,East,Office Supplies,4,235,10
339,2023-01-15 02:00:00,West,Furniture,2,338,41
340,2023-01-15 03:00:00,West,Electronics,1,439,31
341,2023-01-15 04:00:00,East,Office Supplies,3,367,110
342,2023-01-15 05:00:00,West,Electronics,4,359,73
343,2023-01-15 06:00:00,East,Furniture,4,336,127
344,2023-01-15 07:00:00,South,Electronics,3,357,149
345,2023-01-15 08:00:00,East,Electronics,3,61,21
346,2023-01-15 09:00:00,East,Office Supplies,1,371,109
347,2023-01-15 10:00:00,East,Office Supplies,3,180,122
348,2023-01-15 11:00:00,West,Furniture,3,93,27
349,2023-01-15 12:00:00,West,Electronics,4,412,43
350,2023-01-15 13:00:00,East,Office Supplies,2,394,14
351,2023-01-15 14:00:00,West,Office Supplies,2,44,87
352,2023-01-15 15:00:00,North,Office Supplies,4,416,77
353,2023-01-15 16:00:00,North,Furniture,3,322,147
354,2023-01-15 17:00:00,West,Electronics,1,261,47
355,2023-01-15 18:00:00,West,Office Supplies,2,397,92
356,2023-01-15 19:00:00,East,Electronics,3,192,16
357,2023-01-15 20:00:00,South,Furniture,2,408,26
358,2023-01-15 21:00:00,West,Electronics,4,306,22
359,2023-01-15 22:00:00,North,Office Supplies,2,178,66
360,2023-01-15 23:00:00,East,Electronics,4,373,83
361,2023-01-16 00:00:00,West,Electronics,4,237,146
362,2023-01-16 01:00:00,North,Furniture,4,474,109
363,2023-01-16 02:00:00,North,Furniture,1,444,11
364,2023-01-16 03:00:00,South,Electronics,3,134,38
365,2023-01-16 04:00:00,East,Electronics,4,449,67
366,2023-01-16 05:00:00,East,Electronics,4,260,134
367,2023-01-16 06:00:00,South,Furniture,2,327,113
368,2023-01-16 07:00:00,South,Furniture,3,231,67
369,2023-01-16 08:00:00,East,Electronics,1,382,134
370,2023-01-16 09:00:00,East,Furniture,1,105,55
371,2023-01-16 10:00:00,West,Office Supplies,2,152,45
372,2023-01-16 11:00:00,West,Furniture,1,287,137
373,2023-01-16 12:00:00,South,Furniture,2,296,89
374,2023-01-16 13:00:00,West,Furniture,3,284,75
375,2023-01-16 14:00:00,North,Office Supplies,2,112,5
376,2023-01-16 15:00:00,West,Office Supplies,2,110,13
377,2023-01-16 16:00:00,West,Office Supplies,4,164,112
378,2023-01-16 17:00:00,North,Electronics,1,379,105
379,2023-01-16 18:00:00,South,Electronics,3,171,126
380,2023-01-16 19:00:00,North,Office Supplies,3,174,112
381,2023-01-16 20:00:00,West,Electronics,4,155,8
382,2023-01-16 21:00:00,South,Electronics,2,272,65
383,2023-01-16 22:00:00,West,Electronics,3,447,30
384,2023-01-16 23:00:00,North,Office Supplies,3,337,121
385,2023-01-17 00:00:00,North,Furniture,2,48,82
386,2023-01-17 01:00:00,West,Office Supplies,2,102,142
387,2023-01-17 02:00:00,East,Office Supplies,3,349,86
388,2023-01-17 03:00:00,East,Electronics,2,427,85
389,2023-01-17 04:00:00,North,Electronics,1,53,79
390,2023-01-17 05:00:00,North,Furniture,3,335,51
391,2023-01-17 06:00:00,East,Furniture,2,123,92
392,2023-01-17 07:00:00,East,Furniture,3,434,87
393,2023-01-17 08:00:00,West,Furniture,3,390,124
394,2023-01-17 09:00:00,West,Office Supplies,4,407,127
395,2023-01-17 10:00:00,East,Furniture,1,252,58
396,2023-01-17 11:00:00,West,Office Supplies,1,256,29
397,2023-01-17 12:00:00,West,Electronics,4,242,71
398,2023-01-17 13:00:00,South,Furniture,4,412,145
399,2023-01-17 14:00:00,West,Electronics,3,109,25
400,2023-01-17 15:00:00,North,Electronics,1,352,26
401,2023-01-17 16:00:00,West,Office Supplies,4,396,33
402,2023-01-17 17:00:00,West,Furniture,2,259,53
403,2023-01-17 18:00:00,East,Office Supplies,3,237,111
404,2023-01-17 19:00:00,North,Electronics,1,201,29
405,2023-01-17 20:00:00,West,Furniture,3,276,80
406,2023-01-17 21:00:00,West,Electronics,3,251,53
407,2023-01-17 22:00:00,South,Electronics,2,208,9
408,2023-01-17 23:00:00,West,Furniture,2,348,9
409,2023-01-18 00:00:00,West,Furniture,4,434,43
410,2023-01-18 01:00:00,South,Furniture,2,363,85
411,2023-01-18 02:00:00,East,Office Supplies,1,274,34
412,2023-01-18 03:00:00,West,Office Supplies,4,64,6
413,2023-01-18 04:00:00,South,Electronics,1,335,19
414,2023-01-18 05:00:00,North,Furniture,1,105,55
415,2023-01-18 06:00:00,East,Electronics,4,220,27
416,2023-01-18 07:00:00,North,Electronics,2,378,30
417,2023-01-18 08:00:00,North,Electronics,3,362,15
418,2023-01-18 09:00:00,South,Electronics,2,231,132
419,2023-01-18 10:00:00,West,Electronics,1,138,28
420,2023-01-18 11:00:00,South,Furniture,1,317,141
421,2023-01-18 12:00:00,South,Office Supplies,4,488,75
422,2023-01-18 13:00:00,South,Furniture,1,174,142
423,2023-01-18 14:00:00,South,Furniture,4,205,101
424,2023-01-18 15:00:00,East,Furniture,4,216,114
425,2023-01-18 16:00:00,West,Office Supplies,2,356,76
426,2023-01-18 17:00:00,North,Office Supplies,1,220,75
427,2023-01-18 18:00:00,North,Office Supplies,2,437,94
428,2023-01-18 19:00:00,West,Furniture,3,285,131
429,2023-01-18 20:00:00,North,Office Supplies,2,398,127
430,2023-01-18 21:00:00,West,Electronics,1,255,147
431,2023-01-18 22:00:00,North,Office Supplies,3,213,37
432,2023-01-18 23:00:00,South,Furniture,1,386,143
433,2023-01-19 00:00:00,North,Furniture,3,44,62
434,2023-01-19 01:00:00,West,Electronics,1,278,26
435,2023-01-19 02:00:00,West,Office Supplies,2,437,93
436,2023-01-19 03:00:00,West,Office Supplies,1,90,122
437,2023-01-19 04:00:00,West,Electronics,4,47,48
438,2023-01-19 05:00:00,West,Furniture,4,412,13
439,2023-01-19 06:00:00,East,Furniture,2,30,54
440,2023-01-19 07:00:00,East,Office Supplies,2,368,123
441,2023-01-19 08:00:00,North,Office Supplies,3,137,65
442,2023-01-19 09:00:00,West,Office Supplies,2,399,23
443,2023-01-19 10:00:00,North,Office Supplies,4,227,56
444,2023-01-19 11:00:00,West,Office Supplies,2,442,59
445,2023-01-19 12:00:00,West,Furniture,4,112,29
446,2023-01-19 13:00:00,East,Furniture,2,160,73
447,2023-01-19 14:00:00,East,Furniture,4,374,79
448,2023-01-19 15:00:00,South,Furniture,3,30,145
449,2023-01-19 16:00:00,East,Electronics,1,310,76
450,2023-01-19 17:00:00,South,Furniture,1,258,29
451,2023-01-19 18:00:00,South,Electronics,4,283,95
452,2023-01-19 19:00:00,South,Furniture,2,282,79
453,2023-01-19 20:00:00,South,Office Supplies,2,88,68
454,2023-01-19 21:00:00,South,Office Supplies,1,89,86
455,2023-01-19 22:00:00,North,Office Supplies,4,204,142
456,2023-01-19 23:00:00,East,Electronics,2,390,101
457,2023-01-20 00:00:00,South,Furniture,1,143,104
458,2023-01-20 01:00:00,West,Furniture,4,438,21
459,2023-01-20 02:00:00,East,Electronics,3,241,9
460,2023-01-20 03:00:00,East,Electronics,2,30,71
461,2023-01-20 04:00:00,South,Electronics,2,185,105
462,2023-01-20 05:00:00,North,Electronics,4,110,142
463,2023-01-20 06:00:00,South,Electronics,1,267,139
464,2023-01-20 07:00:00,North,Office Supplies,4,360,117
465,2023-01-20 08:00:00,West,Furniture,1,481,33
466,2023-01-20 09:00:00,East,Electronics,4,324,53
467,2023-01-20 10:00:00,West,Office Supplies,3,310,13
468,2023-01-20 11:00:00,North,Electronics,2,176,82
469,2023-01-20 12:00:00,North,Office Supplies,1,107,141
470,2023-01-20 13:00:00,West,Electronics,3,247,64
471,2023-01-20 14:00:00,North,Furniture,4,444,56
472,2023-01-20 15:00:00,West,Electronics,1,384,125
473,2023-01-20 16:00:00,East,Electronics,1,499,79
474,2023-01-20 17:00:00,West,Furniture,3,153,15
475,2023-01-20 18:00:00,East,Furniture,4,285,108
476,2023-01-20 19:00:00,West,Electronics,3,103,79
477,2023-01-20 20:00:00,North,Furniture,4,231,40
478,2023-01-20 21:00:00,West,Furniture,3,237,135
479,2023-01-20 22:00:00,North,Office Supplies,3,360,113
480,2023-01-20 23:00:00,West,Furniture,3,256,87
481,2023-01-21 00:00:00,West,Furniture,3,170,32
482,2023-01-21 01:00:00,South,Electronics,4,193,57
483,2023-01-21 02:00:00,North,Electronics,2,159,58
484,2023-01-21 03:00:00,South,Office Supplies,3,74,69
485,2023-01-21 04:00:00,North,Electronics,4,160,57
486,2023-01-21 05:00:00,South,Furniture,2,93,44
